description,amount,category
"Monthly salary credit INR 278,567.12 Bajaj Auto",278567.12,salary
Payment of Rs 1842 to WheelsEye successful,1842.22,transport_ride
Dropbox - Rs.986.29 paid via UPI,986.29,subscription
Central - Rs.6143/- paid via UPI,6142.82,shopping_offline
"PNB CC: Scaler Academy Rs 13,546.09",13546.09,education
PHONEPE: RS 5168/- PAID TO PRACTO,5168.14,health_medical
CANARA ALERT: INR 14056 SPENT AT MEDANTA,14056.1,health_medical
SBI DEBIT: RS 23771 TO TREEBO@KOTAK UPI,23770.59,travel
"SBI: Rs.7,013.42 paid to Yatra via UPI Ref 453814892",7013.42,travel
"tata capital emi: emi rs 48,189.21 dbtd",48189.21,emi
"PhonePe: Rs 1,908 paid to Pune Municipal Water",1908.39,bills_water
TORRENT POWER - RS.2103/- PAID VIA UPI,2103.01,bills_electricity
UPI: RS 4359/- TO YOGAHOUSE@AXL FOR PURCHASE,4358.85,health_fitness
Paid Rs 1243 to Pune Municipal Water via GPay,1243.31,bills_water
"Mahindra Finance: EMI Rs 8,118.12 debited",8118.12,emi
"Paid Rs 3,274 to FASTag via GPay",3273.62,other
"Axis UPI: Rs 41,849 to toptal@hdfcbank",41848.66,freelance
Yes Bank Credit: Rs. 74458/- NEFT-Amazon India-SALARY,74458.16,salary
Payment of Rs 365.13 to Dominos successful,365.13,food_delivery
Paid Rs. 239 to Headspace via GPay,238.72,subscription
Tata Capital EMI: EMI Rs 44745 dbtd,44745.27,emi
"Rs 4,855/- debited CrossFit Canara",4854.76,health_fitness
"Rs 6,918/- debited BSES Rajdhani BOB",6918.3,bills_electricity
Kotak Debit: Rs 934 to irctc@icici UPI,933.58,travel
"SBI: Rs 7,580.28 debited for AIIMS purchase",7580.28,health_medical
CARD **9935 used at Spectra for Rs.1281/-,1280.88,bills_telecom
axis sms: inr 13868/- dbtd upi txn to netmeds@ybl,13868.48,health_medical
IndusInd UPI: Rs 3696 to purplle@ybl,3695.83,shopping_online
ICICI: Rs 74231/- debited from a/c **3286 for Freelancer.com,74231.12,freelance
"HDFC Debit: Rs 4,537.10 to thequad@okaxis UPI",4537.1,health_fitness
"ICICI: Rs.4,766 paid to Salon via UPI Ref 515486106",4766.32,personal_care
"IndusInd Alert: INR 5,235 spent at Wedding gift",5234.67,gifts
CONTENT WRITING - RS.27915/- PAID VIA UPI,27914.95,freelance
"card **9928 used at project payment for rs.42,116",42115.57,freelance
"Kotak CC: F45 Training Rs 2,480",2480.46,health_fitness
paid rs 7637 to flipkart via gpay,7636.63,shopping_online
"HDFC: Rs 6,793.59 debited for MSEDCL purchase",6793.59,bills_electricity
Bewakoof - Rs.5355 paid via UPI,5354.96,shopping_online
"Kuvera - Rs 26,479 invested in mutual fund",26479.29,investment
"CARD **7912 used at Dunzo for Rs.4,423.46",4423.46,groceries
Kotak: Rs.1821 paid to TATA Power via UPI Ref 992758059,1820.58,bills_electricity
"Axis Alert: INR 1,962.59 spent at Cult.fit",1962.59,health_fitness
IndusInd: Rs.1989/- paid to Municipal Water via UPI Ref 752162382,1989.02,bills_water
SBI Alert: INR 750 spent at Headspace,749.99,subscription
AXIS: RS 2629 DEBITED FROM A/C **7912 FOR BSES RAJDHANI,2628.63,bills_electricity
HDFC Alert: INR 4940 spent at VLCC,4939.57,personal_care
SBI: Rs 19246/- debited for Tanishq purchase,19246.23,shopping_offline
Payment of Rs 856/- to MTNL successful,855.66,bills_telecom
"Yes Bank: Rs 46,414 debited for Kotak EMI EMI",46414.07,emi
ICICI: Rs.199 paid to Jio Fiber via UPI Ref 829290130,198.51,bills_telecom
"BB Daily - Rs.4,529.47 paid via UPI",4529.47,groceries
CARD **1409 used at Dunzo for Rs.4991,4990.94,groceries
YLG Salon - Rs.401.74 paid via UPI,401.74,personal_care
PhonePe: Rs 5100 paid to Titan Eye Plus,5099.8,shopping_offline
"ICICI: Rs 1,905.41 debited for Grammarly purchase",1905.41,subscription
paid rs 426 to subway via gpay,426.1,food_delivery
Monthly rent Rs 13052 paid via UPI,13051.74,rent
Monthly rent Rs 29606/- paid via UPI,29605.93,rent
"PG rent payment Rs 48,983.19 for Apr",48983.19,rent
SBI SMS: INR 47873 debited UPI txn to contentwriti@sbi,47872.7,freelance
Payment of Rs 27329 to GeeksforGeeks successful,27328.92,education
Paid Rs 648 to Microsoft 365 via GPay,647.76,subscription
PG RENT PAYMENT RS 7636 FOR JUL,7636.46,rent
"Kotak Debit: Rs 8,749 to returngift@axl UPI",8749.45,gifts
hdfc cc: boat lifestyle rs 13910,13909.98,shopping_online
PNB: Rs 2787/- debited for Swiggy Instamart purchase,2786.95,groceries
PNB SMS: INR 45570/- debited UPI txn to scaleracadem@ybl,45570.06,education
"hdfc: rs.6,098 paid to dtdc via upi ref 447222742",6098.17,other
"PNB: RS.8,749.07 PAID TO XEROX VIA UPI REF 992217608",8749.07,other
Axis: Rs 766 dbtd for Salon purchase,765.94,personal_care
IndusInd Debit: Rs 576.94 to adobecc@sbi UPI,576.94,subscription
Groww: SIP of Rs 41528 debited,41527.94,investment
"BOB ALERT: INR 3,396 SPENT AT YOGA HOUSE",3396.12,health_fitness
Loan EMI Rs 49686 paid to IDFC First EMI,49685.82,emi
VISTARA - RS.40353 PAID VIA UPI,40353.32,travel
Fortis Hospital - Rs.14100 paid via UPI,14100.21,health_medical
"kotak alert: inr 21,567 spent at spicejet",21567.4,travel
CARD **1488 used at Delhi Jal Board for Rs..678.15,678.15,bills_water
BOB Debit: Rs 586 to spectra@axl UPI,585.72,bills_telecom
SBI UPI: Rs 4911/- to bescom@hdfcbank,4911.23,bills_electricity
"Paid Rs 2,130.49 to Uber via GPay",2130.49,transport_ride
PhonePe: Rs 291 paid to BigBasket,290.68,groceries
"IndusInd: Rs.4,884.32 paid to IMPS Transfer via UPI Ref 606497318",4884.32,other
Yes Bank Debit: Rs 12245 to developmentw@icici UPI,12245.49,freelance
"PAYMENT OF RS 2,852 TO AMAZON FRESH SUCCESSFUL",2852.25,groceries
Yes Bank: Rs.349/- paid to BWSSB via UPI Ref 591271783,348.71,bills_water
"Paid Rs 9,421.02 to Pepperfry via GPay",9421.02,shopping_online
"PAID RS 12,666 TO CODING NINJAS VIA GPAY",12665.92,education
"Miscellaneous - Rs.2,996 paid via UPI",2995.55,other
"Society maintenance payment Rs 17,953.05 for Dec",17953.05,rent
"canara: rs.1,915 paid to pcmc water via upi ref 361301518",1914.6,bills_water
"HDFC Credit: Rs 102,717.06 NEFT-HCL Tech-SALARY",102717.06,salary
"SBI: Rs..13,059 paid to Decathlon via UPI Ref 818371516",13058.51,shopping_offline
"HDFC: Rs 4,630.75 debited for Nayara Energy purchase",4630.75,transport_fuel
"IndusInd SMS: INR 7,692 debited UPI txn to croma@sbi",7692.32,shopping_online
UPI: Rs 556/- to porter@kotak for purchase,556.22,transport_ride
BOB: Rs.5141/- paid to IndiGo via UPI Ref 609910484,5140.99,travel
"SIP debit Rs 23,465.28 DSP MF folio",23465.28,investment
BOB Alert: INR 34852/- spent at Unacademy,34851.5,education
"SBI Alert: INR 1,059.04 spent at Jio Fiber",1059.04,bills_telecom
Paid Rs 1702 to Spotify via GPay,1702.17,entertainment
PNB SMS: INR 272/- debited UPI txn to pcmcwater@kotak,271.84,bills_water
"SBI: Rs 4,639 debited for Coursera purchase",4638.6,education
"BOB: RS.7,720.96 PAID TO AIR INDIA VIA UPI REF 536877463",7720.96,travel
PhonePe: Rs 1460 paid to BluSmart,1460.45,transport_ride
"Kotak CC: Anniversary gift Rs 6,683.54",6683.54,gifts
IndusInd SMS: INR 1525/- debited UPI txn to jiocinema@axisbank,1525.31,entertainment
BOB UPI: RS 9283 TO RAKHIGIFT@OKAXIS,9282.53,gifts
"Salary for Oct - Rs 129,417 from Reliance Industries",129417.34,salary
"PHONEPE: RS 3,604 PAID TO COURIER",3603.75,other
"Nippon MF - Rs 87,023.21 invested in mutual fund",87023.21,investment
"IndusInd CC: Toptal Rs 37,499.61",37499.61,freelance
"BOB Alert: INR 3,982 spent at BSES Rajdhani",3981.57,bills_electricity
PAYMENT OF RS 709.25 TO EATFIT SUCCESSFUL,709.25,food_delivery
Rs 850.72/- debited Adobe CC BOB,850.72,subscription
Payment of Rs 7127 to Myntra successful,7127.28,shopping_online
"BOB Alert: INR 2,800 spent at Diwali gift",2800.41,gifts
Axis: Rs.1862 paid to Metro Cash via UPI Ref 599714064,1861.81,groceries
"RS 67,458.43/- DEBITED TOPTAL KOTAK",67458.43,freelance
Rent transfer Rs 21291 to landlord,21291.31,rent
HDFC: Rs 42846 NEFT to House rent,42846.23,rent
BOB CC: Talwalkars Rs 1308/-,1307.83,health_fitness
Rs 458/- debited Apple TV+ ICICI,458.47,entertainment
ICICI: Rs 22480/- credited - Salary from L&T,22480.1,salary
"UPI: Rs 38,697 to byjus@icici for purchase",38697.07,education
SIP debit Rs 64903 Angel One folio,64903.44,investment
"Nayara Energy - Rs..3,750 paid via UPI",3749.56,transport_fuel
"Payment of Rs 2,801.01 to F45 Training successful",2801.01,health_fitness
"Auto debit Rs 34,533 Mahindra Finance loan account",34533.0,emi
"SBI: Rs 1,021.46 debited from a/c **4582 for Biryani Blues",1021.46,food_delivery
pnb: rs.873 paid to jaipur water via upi ref 458111525,872.88,bills_water
CANARA: RS.35461/- PAID TO ALLEN CAREER VIA UPI REF 165784237,35460.56,education
"SIP debit Rs 78,134 Mirae Asset folio",78134.2,investment
Axis CC: Cipla Health Rs 12455/-,12454.77,health_medical
UPI: RS 365 TO DISNEY+HOTST@PAYTM FOR PURCHASE,365.35,entertainment
"BOB: Rs.4,086 paid to Urbanic via UPI Ref 930888412",4085.86,shopping_online
Rent transfer Rs. 7403/- to landlord,7402.76,rent
Reliance Digital - Rs..4576/- paid via UPI,4575.96,shopping_online
"payment of rs 25,090.61 to spicejet successful",25090.61,travel
SBI CC: Coding Ninjas Rs 39783/-,39783.2,education
"HDFC: Rs 11,977 debited for Bajaj Auto Finance EMI",11977.17,emi
Axis: Rs. 14899/- debited for Reliance Trends purchase,14898.71,shopping_offline
BOB CC: Apple Music Rs 1854,1854.12,subscription
O2 Spa - Rs.4150 paid via UPI,4150.01,personal_care
"PhonePe: Rs 8,027 paid to IGP",8027.46,gifts
"PNB Alert: INR 19,519.34 spent at Manyavar",19519.34,shopping_offline
Paid Rs. 4843/- to Talwalkars via GPay,4843.22,health_fitness
"PhonePe: Rs 1,985 paid to Courier",1984.79,other
Fitness First - Rs.3062/- paid via UPI,3061.98,health_fitness
SIP debit Rs 5813 Coin by Zerodha folio,5813.33,investment
"MONTHLY RENT RS 32,313 PAID VIA UPI",32313.32,rent
"Axis CC: Ratnadeep Rs 2,802",2801.54,groceries
"linkedin premium - rs.1,608 paid via upi",1607.8,subscription
"Taco Bell - Rs.1,426.25 paid via UPI",1426.25,food_delivery
CARD **9279 used at BPCL for Rs.2966/-,2966.14,transport_fuel
PhonePe: Rs 443.74 paid to iCloud,443.74,subscription
Bajaj Auto Finance: EMI Rs 18427/- debited,18426.6,emi
Canara Debit: Rs 26654 to goibibo@ybl UPI,26653.58,travel
Rs 3491/- debited BB Daily PNB,3491.14,groceries
PhonePe: Rs 2051/- paid to Dunzo,2050.99,transport_ride
"SBI UPI: Rs 7,337.55 to vistara@paytm",7337.55,travel
CARD **2824 used at Amazon.in for Rs.3646,3645.6,shopping_online
UPI: Rs 997/- to mxplayer@axl for purchase,996.88,entertainment
"Axis Alert: INR 1,956.94 spent at Anytime Fitness",1956.94,health_fitness
"Payment of Rs 3,685 to O2 Spa successful",3685.34,personal_care
"Loan EMI Rs 45,975 paid to SBI Home Loan",45975.21,emi
Bharat Petroleum - Rs.2908/- paid via UPI,2908.38,transport_fuel
"Payment of Rs 40,843 to development work successful",40842.66,freelance
PhonePe: Rs 1780/- paid to Tata CLiQ,1780.22,shopping_online
ICICI DEBIT: RS 85978/- TO CONSULTINGFE@PAYTM UPI,85977.57,freelance
PhonePe: Rs. 996.34 paid to Salon,996.34,personal_care
PNB UPI: Rs 622.86 to meesho@axisbank,622.86,shopping_online
"Paid Rs 1,423.77 to Lucknow Jal Nigam via GPay",1423.77,bills_water
IndusInd SMS: INR 949 debited UPI txn to burgerking@sbi,948.58,food_delivery
"Payment of Rs 2,436 to Nykaa successful",2436.36,personal_care
"MakeMyTrip - Rs.3,235.78 paid via UPI",3235.78,travel
KOTAK: RS 18210/- DEBITED FOR YATRA PURCHASE,18210.36,travel
"UPI: Rs. 1,292.22 to chennaimetro@ybl for purchase",1292.22,bills_water
"Canara: Rs 2,519 debited for O2 Spa purchase",2518.63,personal_care
Jaipur Water - Rs..1946 paid via UPI,1945.92,bills_water
"Zerodha - Rs 21,118.34 invested in mutual fund",21118.34,investment
UPI: Rs 2727 to dunzo@icici for purchase,2726.66,groceries
CARD **1434 used at Adani Electricity for Rs.559,559.27,bills_electricity
CARD **1434 used at DishTV for Rs.737.17,737.17,bills_telecom
"HDFC MF - Rs 87,927 invested in mutual fund",87927.07,investment
"SIP debit Rs 4,002 Angel One folio",4001.62,investment
SBI UPI: RS 4624 TO URBANCOMPANY@ICICI,4623.64,personal_care
Yes Bank Alert: INR 2521/- spent at Metro Cash,2521.17,groceries
"Yes Bank: Rs 68,718.44 debited for Motilal Oswal MF purchase",68718.44,investment
"PNB Alert: INR 8,941.60 spent at Printing",8941.6,other
Office rent payment Rs 38771 for Oct,38771.44,rent
IndusInd: Rs.20087/- paid to 99designs via UPI Ref 458697233,20086.66,freelance
"IndusInd Alert: INR 1,339 spent at PVR",1338.55,entertainment
Payment of Rs 7852/- to Mamaearth successful,7851.7,shopping_online
BOB: Rs 14756/- debited from a/c **1488 for Raymond,14756.15,shopping_offline
Auto debit Rs 49249 Bajaj Auto Finance loan account,49249.34,emi
"Payment of Rs 1,340 to Essar Petrol successful",1340.38,transport_fuel
IndusInd: Rs 1788/- debited for Notion purchase,1787.97,subscription
"Investment: Rs 10,276 to Axis MF via UPI",10276.15,investment
PhonePe: Rs 15927/- paid to GeeksforGeeks,15927.43,education
"IndusInd Alert: INR 15,504.26 spent at AIIMS",15504.26,health_medical
"phonepe: rs 34,498 paid to goibibo",34498.17,travel
"UPI: RS 1,825 TO RAPIDOBIKE@AXISBANK FOR PURCHASE",1824.55,transport_ride
"Yes Bank Alert: INR 1,625.32 spent at Toll Plaza",1625.32,other
Sarva Yoga - Rs.3222/- paid via UPI,3221.82,health_fitness
BOB Credit: Rs 163113/- NEFT-Accenture-SALARY,163113.15,salary
Yes Bank Debit: Rs 55311 to contentwriti@okaxis UPI,55311.27,freelance
"Kotak: Rs 16,751.58 debited from a/c **9928 for Central",16751.58,shopping_offline
PNB: Rs.1089 paid to Mamaearth via UPI Ref 949830412,1088.77,shopping_online
"Payment of Rs 5,114.99 to IMPS Transfer successful",5114.99,other
"Kotak UPI: Rs 13,359.05 to medanta@sbi",13359.05,health_medical
"Licious - Rs.2,323 paid via UPI",2322.86,groceries
ICICI: Rs 57847/- dbtd from a/c **2824 for client payment,57847.25,freelance
"SIP debit Rs 24,195.81 Coin by Zerodha folio",24195.81,investment
"Kotak SMS: INR 1,873 debited UPI txn to tikona@paytm",1873.31,bills_telecom
Golds Gym - Rs.3933/- paid via UPI,3932.84,health_fitness
yes bank debit: rs 6861 to delhivery@okhdfcbank upi,6860.75,other
Paid Rs 741 to Pune Municipal Water via GPay,741.08,bills_water
Canara UPI: Rs 431 to hppetrolpump@axl,431.11,transport_fuel
"Canara Debit: Rs 35,422.35 to irctc@hdfcbank UPI",35422.35,travel
"Kotak: Rs 23,567.74 debited from a/c **7873 for Metropolis Lab",23567.74,health_medical
IndusInd Debit: Rs 45068 to simplilearn@okaxis UPI,45067.54,education
Rent transfer Rs 15498/- to landlord,15498.45,rent
"Thyrocare - Rs.5,265.43 paid via UPI",5265.43,health_medical
Rs 6617/-/- debited PSPCL Kotak,6616.74,bills_electricity
PHONEPE: RS 681 PAID TO BSNL,680.9,bills_telecom
"Rs 1,318.85/- debited Taco Bell BOB",1318.85,food_delivery
SIP debit Rs 75898/- HDFC MF folio,75897.6,investment
"Rent to owner payment Rs 32,087.41 for Feb",32087.41,rent
"HDFC Alert: INR 84,016.57 spent at consulting fee",84016.57,freelance
SIP debit Rs 55962 Motilal Oswal folio,55961.96,investment
PhonePe: Rs 28569/- paid to MakeMyTrip,28569.46,travel
SBI: Rs 57158 dbtd for Nippon MF MF purchase,57158.46,investment
"icici cc: indigo rs 48,472.37",48472.37,travel
Axis: Rs 48836/- debited for Aakash Institute purchase,48836.4,education
Kotak Debit: Rs. 11067/- to maxhospital@hdfcbank UPI,11066.94,health_medical
CARD **9928 used at 1mg for Rs.11933/-,11932.72,health_medical
"IndusInd UPI: Rs 1,177 to salon@ybl",1177.22,personal_care
"SBI SMS: INR 10,570.31 debited UPI txn to chumbak@axl",10570.31,shopping_online
"Loan EMI Rs 32,954 paid to Hero FinCorp",32954.02,emi
"Kotak: Rs 4,064.41 debited for Total Energies purchase",4064.41,transport_fuel
Paid Rs. 359/- to Reliance Digital via GPay,358.51,shopping_online
"Paid Rs 7,527.67 to Delhivery via GPay",7527.67,other
ICICI: Rs 1188 debited from a/c **1520 for BWSSB,1188.39,bills_water
"BOB Debit: Rs 85,076.23 to designwork@paytm UPI",85076.23,freelance
Loan EMI Rs 14753/- paid to SBI Home Loan,14753.36,emi
"Return gift - Rs.7,690.69 paid via UPI",7690.69,gifts
"PhonePe: Rs 8,484 paid to Housewarming gift",8483.63,gifts
UPI: Rs 498.69 to jio@axl for purchase,498.69,bills_telecom
ICICI Alert: INR 4261/- spent at BlueDart,4261.28,other
"Rs 31,734.64/- debited Vedantu PNB",31734.64,education
yes bank: rs 135 debited for rapido purchase,134.89,transport_ride
IndusInd: Rs.728.89 paid to Ferns N Petals via UPI Ref 166398450,728.89,gifts
Rs 954/-/- debited IOCL SBI,954.1,transport_fuel
"CARD **2424 used at Cleartrip for Rs.28,219",28218.6,travel
"Paid Rs 11,794 to Pantaloons via GPay",11793.6,shopping_offline
"CARD **2424 used at Treebo for Rs.24,692.54",24692.54,travel
Mirae Asset: SIP of Rs 1559 debited,1558.82,investment
HDFC: RS 1153/- DEBITED FOR TITAN EYE PLUS PURCHASE,1153.35,shopping_offline
"HDFC Alert: INR 7,081 spent at Flipkart",7081.42,shopping_online
"Loan EMI Rs 48,496 paid to Axis Car Loan",48495.56,emi
Monthly salary credit INR 119727 Tech Mahindra,119727.26,salary
"HDFC UPI: Rs 1,132.21 to netflix@hdfcbank",1132.21,entertainment
"SALARY FOR JUL - RS 134,390 FROM WIPRO",134389.69,salary
"HDFC CC: Enrich Salon Rs. 1,851.45",1851.45,personal_care
"ET Money: SIP of Rs 42,595.70 debited",42595.7,investment
"CARD **4811 USED AT TANGEDCO FOR RS.1,944",1944.16,bills_electricity
PNB: Rs 25754 NEFT to House rent,25754.19,rent
"PNB: Rs 14,194 debited for Zara purchase",14193.74,shopping_offline
"Monthly salary credit INR 206,098 Bajaj Auto",206098.34,salary
Paid Rs 2609/- to HP Petrol Pump via GPay,2608.82,transport_fuel
Paid Rs 11297/- to Cipla Health via GPay,11296.86,health_medical
Yes Bank: Rs 8723 debited for DSP MF MF purchase,8723.46,investment
Lionsgate Play - Rs.1093 paid via UPI,1093.14,entertainment
"PAID RS 3,618 TO INDIGO VIA GPAY",3618.46,travel
"Paid Rs 1,222 to SonyLIV via GPay",1222.44,entertainment
"Monthly rent Rs 10,693 paid via UPI",10692.69,rent
CARD **5012 USED AT PORTER FOR RS.1660,1660.39,transport_ride
"LOAN EMI RS 33,786 PAID TO ICICI PERSONAL LOAN",33786.19,emi
"Kotak SMS: INR 2,123.12 dbtd UPI txn to youtubepremi@axl",2123.12,entertainment
IndusInd: Rs 22028 debited from a/c **5506 for OYO,22028.44,travel
"bob: rs 1,519 debited for licious purchase",1518.62,groceries
"Yes Bank Debit: Rs. 65,732.41 to projectpayme@paytm UPI",65732.41,freelance
Kotak Debit: Rs 7024/- to fernsnpetals@kotak UPI,7024.05,gifts
"Total Energies - Rs.3,840.21 paid via UPI",3840.21,transport_fuel
BOB CC: Namma Yatri Rs 818,817.84,transport_ride
"Yes Bank: Rs.31,145 paid to IRCTC via UPI Ref 781065609",31144.93,travel
"PhonePe: Rs 2,831 paid to Adani Electricity",2831.04,bills_electricity
BOB Debit: Rs 926.55 to sarvayoga@kotak UPI,926.55,health_fitness
Axis: Rs.1444 paid to HMWSSB via UPI Ref 858906506,1444.25,bills_water
CARD **4257 used at TANGEDCO for Rs.5563,5563.23,bills_electricity
rs 314/- debited disney+ hotstar hdfc,314.22,entertainment
"Paid Rs 43,570 to Scaler Academy via GPay",43570.49,education
"ICICI ALERT: INR 2,457 SPENT AT PORTER",2457.29,transport_ride
rs 22574/-/- debited great learning sbi,22573.63,education
"Axis CC: YouTube Premium Rs 1,943",1943.49,entertainment
Theobroma - Rs.886/- paid via UPI,885.65,food_delivery
"Paid Rs 7,772.28 to BSES Yamuna via GPay",7772.28,bills_electricity
"bob alert: inr 7,058 spent at wedding gift",7057.98,gifts
Monthly salary credit INR 258166/- Reliance Industries,258166.27,salary
ICICI: Rs 625 debited for Spotify purchase,624.59,entertainment
Canara SMS: INR 179 debited UPI txn to d2h@axl,179.11,bills_telecom
"BOB SMS: INR 1,784 debited UPI txn to rakhigift@sbi",1783.83,gifts
Payment of Rs 224 to Rapido Bike successful,223.98,transport_ride
"Payment of Rs 4,643.74 to Ferns N Petals successful",4643.74,gifts
Yes Bank: Rs.8706/- paid to IGP via UPI Ref 392848031,8706.46,gifts
"PNB: RS 21,816.60 DEBITED FOR COIN BY ZERODHA MF PURCHASE",21816.6,investment
BOB: Rs 729/- debited for D2H purchase,729.02,bills_telecom
"SBI UPI: Rs 37,838 to upgrad@paytm",37837.71,education
Auto debit Rs 8196 IDFC First EMI loan account,8196.26,emi
CARD **1520 used at iCloud for Rs.801,800.68,subscription
SBI Debit: Rs 963/- to vivodafone@okaxis UPI,962.82,bills_telecom
"ICICI CC: Essar Petrol Rs 3,320",3320.41,transport_fuel
"Paid Rs 3,806.86 to Indian Oil via GPay",3806.86,transport_fuel
PhonePe: Rs 497 paid to Zee5,496.73,entertainment
"ICICI Credit: Rs 285,990.49 NEFT-Microsoft India-SALARY",285990.49,salary
Axis Alert: INR 1672 spent at Excitel,1671.83,bills_telecom
BOB UPI: Rs 769/- to sarvayoga@okaxis,769.04,health_fitness
"UPI: Rs 1,811.39 to amazonprime@okhdfcbank for purchase",1811.39,entertainment
Yes Bank UPI: Rs 3969/- to healthifyme@paytm,3969.43,health_fitness
"UPI: Rs 9,937.50 to kalyanjewell@axisbank for purchase",9937.5,shopping_offline
"SBI: Rs.1,413 paid to Zee5 via UPI Ref 588346218",1412.67,entertainment
UPI: Rs 1302 to manipalhospi@kotak for purchase,1302.37,health_medical
Monthly salary credit INR 276935 Flipkart,276935.15,salary
Rs 651/-/- debited BWSSB Canara,651.12,bills_water
"Rent transfer Rs 18,623 to landlord",18622.66,rent
Payment of Rs 439.67 to Hathway successful,439.67,bills_telecom
"Rs 1,564/- debited Jaipur Water ICICI",1563.88,bills_water
"ICICI: Rs.23,497.06 paid to PeoplePerHour via UPI Ref 746354547",23497.06,freelance
BOB: RS.592.77 PAID TO MUNICIPAL WATER VIA UPI REF 217247719,592.77,bills_water
card **2824 used at google one for rs.875,875.15,subscription
"HDFC: Rs.1,051 paid to Practo via UPI Ref 857674720",1051.02,health_medical
"UPI: Rs 15,467 to peterengland@axl for purchase",15466.65,shopping_offline
"Rs 3,261/- debited Kaya Skin Kotak",3261.01,personal_care
"ICICI Personal Loan: EMI Rs 3,054 debited",3054.4,emi
"PHONEPE: RS 2,762.69 PAID TO URBAN COMPANY",2762.69,personal_care
"BSES Rajdhani - Rs.7,594 paid via UPI",7593.61,bills_electricity
"CARD **1409 used at UHBVN for Rs.1,632",1632.14,bills_electricity
Payment of Rs 970.76 to MTNL successful,970.76,bills_telecom
"boAt - Rs.8,041 paid via UPI",8041.28,shopping_online
"PNB UPI: Rs 14,696.09 to apollopharma@okaxis",14696.09,health_medical
PhonePe: Rs 845/- paid to Shell,845.05,transport_fuel
Samsung Finance: EMI Rs 29813/- debited,29813.39,emi
Kotak Debit: Rs 2174 to flipkartgroc@hdfcbank UPI,2173.95,groceries
"MCGM Water - Rs.1,752.73 paid via UPI",1752.73,bills_water
Payment of Rs 39509 to IRCTC successful,39509.23,travel
ICICI Debit: Rs 16620/- to airbnb@hdfcbank UPI,16620.36,travel
"axis: rs 1,708 debited from a/c **1434 for anniversary gift",1708.05,gifts
"HDFC Debit: Rs 19,264.40 to treebo@kotak UPI",19264.4,travel
Kotak EMI: EMI Rs 17284 debited,17284.18,emi
"ICICI UPI: Rs 33,788.33 to vistara@axisbank",33788.33,travel
"PhonePe: Rs 1,596 paid to Cinepolis",1596.42,entertainment
PNB: Rs.279 paid to Zee5 via UPI Ref 389815857,279.18,entertainment
Axis: Rs.5750 paid to Amazon.in via UPI Ref 488984224,5750.44,shopping_online
"Hathway - Rs.1,669 paid via UPI",1669.35,bills_telecom
PhonePe: Rs 266 paid to Pune Municipal Water,265.74,bills_water
CARD **7873 used at PVR for Rs.346/-,346.11,entertainment
"Investment: Rs 78,867 to Motilal Oswal via UPI",78866.97,investment
"BOB CC: Indane Gas Rs 4,431",4430.67,transport_fuel
"SBI CC: PSPCL Rs 3,431.37",3431.37,bills_electricity
"Loan EMI Rs 47,116 paid to Mahindra Finance",47116.18,emi
BOB SMS: INR 365.76 DEBITED UPI TXN TO MCGMWATER@OKAXIS,365.76,bills_water
UPI: Rs 455/- to chatgptplus@hdfcbank for purchase,454.56,subscription
Dunzo Daily - Rs.513.64 paid via UPI,513.64,food_delivery
"Paid Rs 21,841 to OYO via GPay",21841.19,travel
"development work - Rs.7,210.09 paid via UPI",7210.09,freelance
Kotak UPI: Rs 402 to jio@axisbank,402.49,bills_telecom
"ICICI: Rs 47,467.27 debited for Axis Car Loan EMI",47467.27,emi
"BOB: RS 1,043 DEBITED FROM A/C **4257 FOR OLA",1042.93,transport_ride
InDrive - Rs.806 paid via UPI,805.63,transport_ride
Swiggy - Rs.884 paid via UPI,883.62,food_delivery
HDFC SMS: INR 1158 debited UPI txn to hpgas@axl,1158.44,transport_fuel
"Paid Rs 1,400 to CrossFit via GPay",1399.97,health_fitness
"BOB: Rs 3,777.71 debited from a/c **4657 for Bodycraft",3777.71,personal_care
Yes Bank SMS: INR 5633/- debited UPI txn to firstcry@icici,5632.83,shopping_online
"OYO - Rs.13,133.47 paid via UPI",13133.47,travel
"BOB ALERT: INR 1,937.61 SPENT AT CESC",1937.61,bills_electricity
"IndusInd: Rs.35,733.79 paid to Yatra via UPI Ref 162764682",35733.79,travel
"HDFC: Rs 5,578 debited for Diwali gift purchase",5577.84,gifts
Paid Rs 21052/- to Coursera via GPay,21051.7,education
PhonePe: Rs. 5844 paid to Adani Electricity,5843.65,bills_electricity
"PNB UPI: Rs 1,706 to lionsgatepla@axisbank",1705.63,entertainment
"Canara CC: The Quad Rs 3,508",3507.97,health_fitness
"Paytm Money - Rs 2,173.38 invested in mutual fund",2173.38,investment
"Loan EMI Rs 36,701.60 paid to Hero FinCorp",36701.6,emi
"Kotak: Rs 10,285 debited from a/c **1520 for Urbanic",10285.35,shopping_online
"UPI: Rs 8,841.40 to byjus@ybl for purchase",8841.4,education
"CARD **1409 used at Birthday gift for Rs.9,697.92",9697.92,gifts
PHONEPE: RS 2295/- PAID TO SRL DIAGNOSTICS,2295.23,health_medical
kotak debit: rs 238 to porter@axisbank upi,238.46,transport_ride
"Axis CC: Raymond Rs 6,721.65",6721.65,shopping_offline
"Kuvera: SIP of Rs 70,212 debited",70212.26,investment
"PhonePe: Rs 1,344.87 paid to Snap Fitness",1344.87,health_fitness
